product_sku,category_code,warehouse_code,quantity,transaction_type
SKU09421,CAT0140,WH0014,5,IN
SKU03339,CAT0269,WH0347,2,IN
SKU02121,CAT0249,WH0135,-1,OUT
SKU09820,CAT0206,WH0277,-10,OUT
SKU08157,CAT0286,WH0713,-17,OUT
SKU04425,CAT0686,WH0093,14,IN
SKU02337,CAT0061,WH0418,2,IN
SKU03435,CAT0398,WH0528,-19,OUT
SKU00752,CAT0340,WH0393,20,IN
SKU07098,CAT0535,WH0138,-4,OUT
SKU08796,CAT0280,WH0497,-1,OUT
SKU06759,CAT0899,WH0265,-5,OUT
SKU09571,CAT0242,WH0559,9,IN
SKU09686,CAT0065,WH0419,-3,OUT
SKU08520,CAT0992,WH0826,-5,OUT
SKU08382,CAT0081,WH0497,1,IN
SKU08156,CAT0724,WH0692,16,IN
SKU06637,CAT0113,WH0966,20,IN
SKU09456,CAT0469,WH0248,-18,OUT
SKU08957,CAT0991,WH0765,9,IN
SKU08696,CAT0015,WH0033,15,IN
SKU01479,CAT0363,WH0214,7,IN
SKU07783,CAT0645,WH0731,9,IN
SKU08151,CAT0355,WH0091,2,IN
SKU05299,CAT0627,WH0050,-6,OUT
SKU00609,CAT0597,WH0390,-12,OUT
SKU01725,CAT0054,WH0263,-13,OUT
SKU05110,CAT0803,WH0702,-15,OUT
SKU05743,CAT0278,WH0345,17,IN
SKU09519,CAT0952,WH0001,13,IN
SKU09005,CAT0161,WH0703,-4,OUT
SKU01397,CAT0951,WH0884,-2,OUT
SKU04161,CAT0811,WH0808,-14,OUT
SKU06979,CAT0752,WH0464,4,IN
SKU01304,CAT0225,WH0988,-18,OUT
SKU00692,CAT0273,WH0270,-19,OUT
SKU00462,CAT0483,WH0643,5,IN
SKU02164,CAT0448,WH0621,-6,OUT
SKU09155,CAT0567,WH0864,-3,OUT
SKU05045,CAT0056,WH0319,-12,OUT
SKU08094,CAT0774,WH0957,-12,OUT
SKU00805,CAT0215,WH0853,-19,OUT
SKU03492,CAT0046,WH0131,5,IN
SKU05836,CAT0723,WH0466,-20,OUT
SKU01138,CAT0061,WH0822,-10,OUT
SKU01514,CAT0636,WH0696,13,IN
SKU08905,CAT0396,WH0836,-8,OUT
SKU07973,CAT0512,WH0051,8,IN
SKU09289,CAT0943,WH0057,9,IN
SKU08915,CAT0343,WH0702,-2,OUT
SKU00740,CAT0446,WH0160,3,IN
SKU09734,CAT0201,WH0335,12,IN
SKU00514,CAT0712,WH0295,-6,OUT
SKU00915,CAT0976,WH0615,2,IN
SKU01706,CAT0400,WH0412,-5,OUT
SKU09682,CAT0231,WH0592,8,IN
SKU07359,CAT0466,WH0273,-11,OUT
SKU03331,CAT0977,WH0534,-18,OUT
SKU08763,CAT0726,WH0076,15,IN
SKU03084,CAT0053,WH0588,5,IN
SKU03678,CAT0982,WH0329,10,IN
SKU08432,CAT0345,WH0128,8,IN
SKU03933,CAT0579,WH0405,14,IN
SKU04449,CAT0191,WH0598,11,IN
SKU07566,CAT0112,WH0780,-3,OUT
SKU07292,CAT0638,WH0964,-16,OUT
SKU02446,CAT0724,WH0160,16,IN
SKU07020,CAT0886,WH0043,13,IN
SKU03754,CAT0595,WH0970,12,IN
SKU07166,CAT0948,WH0879,12,IN
SKU06056,CAT0897,WH0574,-18,OUT
SKU04691,CAT0881,WH0707,2,IN
SKU04960,CAT0954,WH0972,16,IN
SKU02596,CAT0660,WH0859,-15,OUT
SKU02684,CAT0543,WH0406,-15,OUT
SKU03918,CAT0699,WH0720,9,IN
SKU02891,CAT0402,WH0491,5,IN
SKU02610,CAT0580,WH0914,-19,OUT
SKU09582,CAT0399,WH0683,2,IN
SKU08962,CAT0086,WH0968,-4,OUT
SKU01235,CAT0542,WH0268,-16,OUT
SKU04058,CAT0596,WH0298,-11,OUT
SKU01006,CAT0310,WH0674,-11,OUT
SKU08413,CAT0068,WH0051,7,IN
SKU01084,CAT0919,WH0680,7,IN
SKU06441,CAT0821,WH0585,20,IN
SKU06936,CAT0786,WH0522,-13,OUT
