product_sku,category_code,warehouse_code,quantity,transaction_type
SKU02158,CAT0577,WH0665,4,IN
SKU09263,CAT0873,WH0119,-15,OUT
SKU07450,CAT0753,WH0242,-3,OUT
SKU09120,CAT0333,WH0397,-5,OUT
SKU08992,CAT0442,WH0187,-17,OUT
SKU03470,CAT0117,WH0172,1,IN
SKU05762,CAT0451,WH0257,20,IN
SKU08411,CAT0212,WH0364,17,IN
SKU09494,CAT0942,WH0290,19,IN
SKU02091,CAT0840,WH0913,12,IN
SKU09675,CAT0825,WH0620,-5,OUT
SKU05951,CAT0041,WH0998,18,IN
SKU02013,CAT0302,WH0551,-4,OUT
SKU04938,CAT0681,WH0597,-5,OUT
SKU02594,CAT0106,WH0717,-10,OUT
SKU06432,CAT0996,WH0319,-12,OUT
SKU00258,CAT0682,WH0758,-18,OUT
SKU03961,CAT0153,WH0855,10,IN
SKU01474,CAT0484,WH0397,-14,OUT
SKU07753,CAT0575,WH0044,19,IN
SKU07038,CAT0156,WH0773,-13,OUT
SKU09110,CAT0159,WH0126,-3,OUT
SKU05181,CAT0448,WH0671,-20,OUT
SKU08923,CAT0125,WH0373,5,IN
SKU09650,CAT0411,WH0621,-11,OUT
SKU08407,CAT0592,WH0773,-3,OUT
SKU06720,CAT0079,WH0621,-12,OUT
SKU05368,CAT0017,WH0070,-15,OUT
SKU06631,CAT0747,WH0906,2,IN
SKU00387,CAT0483,WH0815,5,IN
SKU08915,CAT0638,WH0262,-6,OUT
SKU08470,CAT0977,WH0448,17,IN
SKU03130,CAT0418,WH0084,-1,OUT
SKU05988,CAT0759,WH0179,10,IN
SKU02459,CAT0518,WH0121,-8,OUT
SKU05356,CAT0210,WH0813,-12,OUT
SKU04268,CAT0618,WH0840,15,IN
SKU01929,CAT0775,WH1000,-1,OUT
SKU08272,CAT0100,WH0029,15,IN
SKU09410,CAT0824,WH0872,-9,OUT
SKU02006,CAT0139,WH0366,-7,OUT
SKU06744,CAT0863,WH0966,14,IN
SKU01322,CAT0972,WH0199,9,IN
SKU08061,CAT0229,WH0577,-1,OUT
SKU06545,CAT0118,WH0065,-13,OUT
SKU08766,CAT0752,WH0978,-4,OUT
SKU01554,CAT0182,WH0629,12,IN
SKU05281,CAT0731,WH0184,10,IN
SKU08623,CAT0640,WH0005,-15,OUT
SKU03382,CAT0039,WH0691,11,IN
SKU05382,CAT0163,WH0230,-1,OUT
SKU01060,CAT0039,WH0608,13,IN
SKU08845,CAT0028,WH0047,-4,OUT
SKU00490,CAT0426,WH0653,-5,OUT
SKU04693,CAT0345,WH0845,12,IN
SKU07184,CAT0188,WH0474,-16,OUT
SKU06291,CAT0992,WH0566,19,IN
SKU03293,CAT0558,WH0752,12,IN
SKU05310,CAT0278,WH0098,-2,OUT
SKU03696,CAT0503,WH0992,18,IN
SKU04726,CAT0529,WH0422,5,IN
SKU01840,CAT0120,WH0244,7,IN
SKU00568,CAT0586,WH0006,16,IN
SKU00879,CAT0679,WH0469,14,IN
SKU09962,CAT0871,WH0811,-9,OUT
SKU07785,CAT0684,WH0520,-6,OUT
SKU05945,CAT0237,WH0771,7,IN
SKU07572,CAT0561,WH0138,-8,OUT
SKU01431,CAT0466,WH0746,5,IN
SKU04359,CAT0301,WH0429,15,IN
SKU02093,CAT0404,WH0068,-3,OUT
SKU00037,CAT0752,WH0747,16,IN
SKU08101,CAT0619,WH0020,-18,OUT
SKU08758,CAT0569,WH0110,7,IN
SKU08176,CAT0682,WH0576,-5,OUT
SKU01266,CAT0632,WH0167,4,IN
SKU02186,CAT0248,WH0002,1,IN
SKU05192,CAT0574,WH0229,9,IN
SKU05284,CAT0591,WH0286,-18,OUT
SKU07013,CAT0154,WH0149,-6,OUT
SKU07007,CAT0202,WH0422,11,IN
SKU06850,CAT0593,WH0673,-16,OUT
SKU00228,CAT0179,WH0759,-4,OUT
SKU03872,CAT0473,WH0814,-20,OUT
SKU09408,CAT0927,WH0046,-9,OUT
SKU07137,CAT0483,WH0158,-16,OUT
SKU07847,CAT0244,WH0617,-14,OUT
SKU01840,CAT0120,WH0856,-13,OUT
SKU09714,CAT0121,WH0221,-3,OUT
SKU08079,CAT0098,WH0824,-13,OUT
SKU08340,CAT0523,WH0366,10,IN
SKU05063,CAT0075,WH0093,-12,OUT
SKU08869,CAT0646,WH0466,1,IN
SKU06555,CAT0662,WH0005,-12,OUT
SKU02381,CAT0497,WH0227,-19,OUT
SKU01644,CAT0448,WH0282,-1,OUT
SKU00712,CAT0327,WH0819,-5,OUT
SKU08093,CAT0848,WH0420,6,IN
SKU06731,CAT0075,WH0272,-2,OUT
SKU00822,CAT0842,WH0430,-15,OUT
SKU06175,CAT0467,WH0154,19,IN
SKU01345,CAT0108,WH0218,13,IN
SKU06817,CAT0523,WH0405,6,IN
SKU08798,CAT0019,WH0475,14,IN
SKU09149,CAT0049,WH0475,14,IN
SKU06412,CAT0679,WH0480,13,IN
SKU03283,CAT0477,WH0201,9,IN
SKU00139,CAT0529,WH0767,18,IN
SKU06672,CAT0459,WH0863,-20,OUT
SKU08333,CAT0854,WH0386,14,IN
SKU03765,CAT0110,WH0071,8,IN
SKU07160,CAT0286,WH0172,9,IN
SKU08207,CAT0786,WH0921,-18,OUT
SKU09592,CAT0084,WH0286,-18,OUT
SKU06615,CAT0908,WH0549,3,IN
SKU00317,CAT0207,WH0646,-13,OUT
SKU09864,CAT0087,WH0498,-17,OUT
SKU00911,CAT0622,WH0638,-18,OUT
SKU00995,CAT0227,WH0800,4,IN
SKU00688,CAT0594,WH0232,-3,OUT
SKU09447,CAT0790,WH0136,-16,OUT
SKU01235,CAT0196,WH0263,-3,OUT
SKU06060,CAT0024,WH0953,13,IN
SKU09818,CAT0178,WH0452,18,IN
SKU07764,CAT0238,WH0310,-4,OUT
SKU00539,CAT0421,WH0234,-8,OUT
SKU08308,CAT0370,WH0426,6,IN
SKU06686,CAT0508,WH0074,16,IN
SKU07763,CAT0243,WH0884,-6,OUT
SKU05384,CAT0263,WH0779,-7,OUT
SKU07301,CAT0275,WH0528,-13,OUT
SKU06738,CAT0536,WH0772,7,IN
SKU00699,CAT0950,WH0307,9,IN
SKU01877,CAT0323,WH0676,18,IN
SKU06726,CAT0040,WH0636,-10,OUT
SKU07204,CAT0586,WH0499,12,IN
SKU02900,CAT0033,WH0275,-14,OUT
SKU05852,CAT0677,WH0830,20,IN
SKU08694,CAT0591,WH0282,1,IN
SKU01080,CAT0715,WH0277,15,IN
SKU08553,CAT0068,WH0293,11,IN
SKU08644,CAT0313,WH0549,-3,OUT
SKU00758,CAT0964,WH0843,12,IN
SKU03623,CAT0732,WH0434,-18,OUT
SKU04695,CAT0663,WH0987,-9,OUT
SKU08630,CAT0961,WH0815,-18,OUT
SKU01672,CAT0525,WH0530,-5,OUT
SKU05502,CAT0406,WH0673,2,IN
SKU06364,CAT0067,WH0531,-1,OUT
SKU04432,CAT0873,WH0259,-18,OUT
SKU05855,CAT0509,WH0859,2,IN
SKU06214,CAT0005,WH0780,-7,OUT
SKU09951,CAT0164,WH0655,20,IN
SKU01558,CAT0132,WH0806,-15,OUT
SKU09997,CAT0571,WH0170,-5,OUT
SKU08747,CAT0608,WH0033,-19,OUT
SKU04940,CAT0488,WH0980,15,IN
SKU07731,CAT0286,WH0084,18,IN
SKU00465,CAT0680,WH0718,-14,OUT
SKU04348,CAT0536,WH0927,-3,OUT
SKU04363,CAT0943,WH0956,12,IN
SKU01381,CAT0320,WH0264,-13,OUT
SKU04789,CAT0624,WH0640,18,IN
SKU02667,CAT0265,WH0402,-2,OUT
SKU05119,CAT0174,WH0633,8,IN
SKU08706,CAT0459,WH0237,-17,OUT
SKU07822,CAT0705,WH0253,-15,OUT
SKU05605,CAT0546,WH0191,-8,OUT
SKU09411,CAT0736,WH0732,-8,OUT
